报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2016-12-31,9280.43万,False,315.40万,False,8.45亿,False,0.1200,1.17,0.09,-0.02,0.51,10.98%,51.20%,11.35%,10.51%,248.64,1.61,223.59,25.05,4.90,2.42,2.42,0.27,21.25%
2017-12-31,3.47亿,273.81%,2.74亿,8599.25%,12.28亿,45.28%,0.4600,1.57,0.09,0.41,0.30,28.26%,53.49%,33.52%,29.23%,148.62,2.94,122.51,26.11,5.32,3.96,3.96,0.24,19.51%
2018-03-31,1.59亿,False,1.52亿,False,3.37亿,False,False,False,False,False,False,47.16%,False,False,False,False,False,False,False,False,False,False,False,False
2018-06-30,3.17亿,False,3.04亿,False,7.09亿,False,0.4000,False,False,False,False,44.65%,68.35%,20.15%,False,False,False,False,False,False,False,False,False,False
2018-09-30,5.63亿,False,5.52亿,False,12.51亿,False,0.6800,False,False,False,False,45.02%,70.18%,30.37%,False,False,False,False,False,False,False,False,False,False
2018-12-31,7.37亿,112.41%,6.98亿,154.56%,17.58亿,43.19%,0.8700,3.56,1.80,0.65,0.95,41.92%,70.54%,37.11%,20.38%,124.93,4.09,88.03,36.91,9.57,9.25,9.25,0.16,13.51%
2019-03-31,2.26亿,42.02%,2.16亿,42.25%,4.05亿,20.07%,0.2200,False,False,False,False,55.78%,76.21%,False,False,False,False,False,False,False,False,False,False,False
2019-06-30,4.51亿,42.38%,4.31亿,41.67%,8.79亿,23.98%,0.4400,4.01,2.03,0.87,0.36,51.28%,73.60%,11.49%,11.06%,142.64,1.83,98.30,44.34,16.33,15.74,15.74,0.10,9.10%
2019-09-30,7.44亿,31.99%,7.15亿,29.62%,13.84亿,10.64%,0.7100,6.34,4.16,1.04,0.57,53.71%,74.23%,15.89%,10.38%,122.70,3.51,76.87,45.83,28.76,28.36,28.36,0.06,5.62%
2019-12-31,9.33亿,26.60%,8.35亿,19.54%,17.38亿,-1.13%,0.8800,6.49,4.16,1.16,0.77,53.68%,73.96%,17.66%,12.73%,149.02,3.26,110.38,38.64,27.45,26.80,26.80,0.06,5.80%
2020-03-31,2.63亿,16.50%,2.18亿,1.16%,4.96亿,22.49%,0.2300,6.80,4.21,1.39,0.24,53.05%,72.53%,3.50%,3.42%,127.01,0.91,98.96,28.06,25.36,24.83,24.83,0.06,6.03%
2020-06-30,6.02亿,33.43%,5.22亿,20.96%,10.90亿,23.93%,0.5300,6.85,4.26,1.39,0.57,55.21%,73.70%,7.87%,7.78%,125.77,1.72,104.80,20.97,12.76,12.43,12.43,0.10,9.42%
2020-09-30,8.78亿,18.06%,6.83亿,-4.40%,14.68亿,6.08%,0.7800,7.03,4.31,1.63,0.70,59.78%,72.89%,11.47%,11.05%,143.77,2.24,120.58,23.19,32.73,29.58,29.58,0.05,5.19%
2020-12-31,11.04亿,18.31%,7.60亿,-9.01%,18.24亿,4.95%,0.9800,7.14,4.34,1.79,0.89,60.52%,72.27%,14.39%,13.68%,143.85,2.95,122.20,21.65,28.17,27.23,27.23,0.04,4.15%
2021-03-31,1.34亿,-49.00%,7415.69万,-66.03%,3.00亿,-39.58%,0.1200,7.35,4.40,1.90,0.11,44.78%,65.13%,1.64%,1.61%,193.38,0.55,164.47,28.90,27.65,26.70,26.70,0.05,4.36%
2021-06-30,3.08亿,-48.82%,1.78亿,-65.93%,7.24亿,-33.51%,0.2700,7.19,4.44,1.76,0.22,42.49%,63.00%,3.74%,3.79%,188.25,1.15,157.05,31.20,19.93,18.99,18.99,0.06,5.71%
2021-09-30,5.12亿,-41.62%,3.61亿,-47.22%,15.93亿,8.46%,0.4500,7.41,4.48,1.94,0.31,32.18%,49.13%,6.21%,6.12%,122.57,3.37,80.00,42.57,14.28,13.61,13.61,0.08,6.99%
2021-12-31,8.29亿,-24.88%,6.17亿,-18.73%,25.62亿,40.49%,0.7300,7.42,4.52,2.18,0.60,32.36%,48.08%,9.93%,9.88%,94.29,4.74,76.03,18.26,16.97,15.66,15.66,0.07,6.34%
2022-03-31,3.06亿,128.23%,2.31亿,210.96%,9.00亿,200.61%,0.2700,7.74,4.57,2.44,0.23,34.00%,43.19%,3.57%,3.49%,87.91,1.31,68.69,19.23,16.26,14.97,14.97,0.07,6.65%
2022-06-30,6.81亿,121.20%,4.93亿,177.40%,19.27亿,166.04%,0.6000,7.97,4.60,2.47,0.55,35.33%,42.73%,7.66%,7.54%,102.51,2.11,85.29,17.22,7.88,7.22,7.22,0.14,12.63%
2022-09-30,9.99亿,94.94%,7.66亿,112.39%,28.81亿,80.88%,0.8800,8.50,4.66,2.77,0.45,34.68%,43.70%,11.00%,10.37%,107.62,3.13,86.37,21.25,18.19,16.41,16.41,0.06,5.96%
2022-12-31,12.99亿,56.71%,8.83亿,43.04%,36.72亿,43.33%,1.1500,8.74,4.70,2.99,0.61,35.38%,46.44%,14.18%,13.11%,126.18,3.53,101.93,24.25,13.51,12.21,12.21,0.08,7.10%
2023-03-31,1972.07万,-93.56%,29.59万,-99.87%,4.20亿,-53.41%,0.0200,8.77,4.76,3.00,-0.06,4.70%,53.29%,0.20%,0.20%,410.43,0.25,357.71,52.71,19.47,16.83,16.83,0.05,5.12%
2023-06-30,8185.58万,-87.98%,381.20万,-99.23%,9.28亿,-51.87%,0.0700,8.89,4.70,2.75,0.13,8.83%,56.32%,0.81%,0.81%,376.90,0.55,327.63,49.27,12.20,11.08,11.08,0.08,7.43%
2023-09-30,2.34亿,-76.60%,1.56亿,-79.66%,15.25亿,-47.06%,0.2100,8.89,4.74,2.88,0.32,15.34%,59.64%,2.30%,2.31%,351.97,0.90,300.74,51.23,21.55,19.72,19.72,0.05,4.57%
2023-12-31,4.51亿,-65.30%,3.70亿,-58.11%,22.86亿,-37.76%,0.4000,8.95,4.77,3.05,0.64,19.74%,58.91%,4.44%,4.42%,282.52,1.54,233.96,48.56,21.21,19.80,19.80,0.05,4.59%
2024-03-31,2.23亿,1032.86%,2.20亿,74117.63%,7.37亿,75.74%,0.2000,8.94,4.83,3.24,0.31,30.30%,57.70%,2.17%,2.19%,169.71,0.65,138.42,31.29,22.13,20.61,20.61,0.05,4.60%
2024-06-30,5.93亿,624.63%,5.44亿,14177.86%,16.65亿,79.49%,0.5200,8.90,4.84,3.27,0.72,35.63%,57.78%,5.73%,5.84%,142.41,1.59,113.07,29.34,21.46,20.16,20.16,0.05,4.60%
2024-09-30,9.78亿,318.42%,8.74亿,460.88%,25.71亿,68.56%,0.8700,9.19,4.86,3.60,1.10,37.98%,58.12%,9.46%,9.31%,138.98,2.46,109.83,29.15,16.32,15.37,15.37,0.06,5.68%
2024-12-31,14.12亿,213.10%,12.48亿,237.44%,36.39亿,59.20%,1.2500,9.96,4.91,3.95,1.48,36.84%,58.13%,13.41%,12.38%,132.34,3.65,98.60,33.74,13.92,13.27,13.27,0.07,6.73%
2025-03-31,5.25亿,135.14%,5.03亿,128.83%,12.22亿,65.78%,0.4600,10.46,4.96,4.41,0.16,41.21%,60.45%,4.50%,4.39%,93.07,1.46,61.72,31.36,18.74,17.48,17.48,0.06,5.72%
2025-06-30,11.59亿,95.41%,10.91亿,100.52%,26.33亿,58.17%,1.0200,10.58,4.99,4.57,0.92,42.24%,60.44%,9.70%,9.57%,91.65,2.77,65.03,26.62,17.10,15.91,15.91,0.07,6.36%
2025-09-30,16.32亿,66.89%,14.67亿,67.93%,40.58亿,57.83%,1.4400,10.71,5.05,4.79,1.40,38.85%,61.46%,13.60%,13.31%,130.90,2.72,99.09,31.81,11.40,10.42,10.42,0.12,10.87%
2025-12-31,22.36亿,58.35%,20.22亿,61.95%,54.56亿,49.94%,1.9700,11.27,5.33,5.25,1.76,39.03%,62.23%,18.25%,17.30%,140.54,3.30,109.03,31.52,14.34,12.83,12.83,0.07,6.38%
2026-03-31,8.47亿,61.30%,6.04亿,20.14%,14.61亿,19.51%,0.7300,17.06,10.80,5.62,0.51,56.80%,69.79%,5.39%,4.07%,228.11,0.47,191.53,36.58,24.66,23.06,23.06,0.04,4.17%
