SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,SECURITY_INNER_CODE,ACCOUNTING_STANDARDS,NOTICE_DATE,START_DATE,REPORT_DATE,FINANCIAL_DATE,STD_REPORT_DATE,CURRENCY,DATE_TYPE,DATE_TYPE_CODE,REPORT_TYPE,REPORT_DATA_TYPE,ORGTYPE,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,PARENT_HOLDER_NETPROFIT,PARENT_HOLDER_NETPROFIT_YOY,BASIC_EPS,DILUTED_EPS,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,ACCOUNTS_RECE_TR,INVENTORY_TR,TOTAL_ASSETS_TR,ACCOUNTS_RECE_TDAYS,INVENTORY_TDAYS,TOTAL_ASSETS_TDAYS,ROE_AVG,ROA,CURRENT_RATIO,SPEED_RATIO,OCF_LIQDEBT,DEBT_ASSET_RATIO,EQUITY_RATIO,BASIC_EPS_YOY,GROSS_PROFIT_RATIO_YOY,NET_PROFIT_RATIO_YOY,ROE_AVG_YOY,ROA_YOY,DEBT_ASSET_RATIO_YOY,CURRENT_RATIO_YOY,SPEED_RATIO_YOY,CURRENCY_ABBR
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2025-10-03 00:00:00,2024-08-30 00:00:00,2025-08-28 00:00:00,8-28,2025-12-31 00:00:00,美元,年报,001,2025/FY,2025年 年报,一般企业,37378000000,48.8511011111,14873000000,164.9741671121,8539000000,997.557840617,7.65,7.59,39.7907860239,22.844989031,4.707556675063,2.61230412072,0.491124338103,76.47279148162,137.809375694273,733.011932152505,17.199081534,11.2197301168,2.517984983412,1.788545486293,1.530033176183,34.5817531824,52.8625496169,992.8571428571,78.0129035896,637.3528529109,886.5264948401,863.8440390307,-1.1518641585,-4.454599021,6.7333590839,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2025-10-03 00:00:00,2023-09-01 00:00:00,2024-08-29 00:00:00,8-29,2024-12-31 00:00:00,美元,年报,001,2024/FY,2024年 年报,一般企业,25111000000,61.5894465894,5613000000,496.3983050847,778000000,113.3379050231,0.7,0.7,22.3527537732,3.0982437975,5.544491057629,2.259066156876,0.375716316301,64.929313846517,159.357882859807,958.169726415584,1.7433978331,1.1640607466,2.635380622837,1.67571366782,0.919874567474,34.9847297453,53.8100197204,113.1086142322,345.3120011542,108.2541931447,114.0516430698,113.0252869603,11.6474036484,-40.8887748643,-37.8954995165,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2025-10-03 00:00:00,2022-09-02 00:00:00,2023-08-31 00:00:00,8-31,2023-12-31 00:00:00,美元,年报,001,2023/FY,2023年 年报,一般企业,15540000000,-49.476558944,-1416000000,-110.1885163333,-5833000000,-167.146310579,-5.34,-5.34,-9.111969112,-37.5353925354,4.104053875611,2.253289036545,0.238093414128,87.718146718141,159.766454352431,1512.01158301028,-12.4070745637,-8.9369297594,4.45834207765,2.698216159496,0.327177334732,31.3350141625,45.6346328196,-168.3738796415,-120.1659192651,-232.9013012093,-167.0127706377,-164.3660581707,26.8306511807,54.315416755,34.5538538593,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2024-10-04 00:00:00,2021-09-03 00:00:00,2022-09-01 00:00:00,9-1,2022-12-31 00:00:00,美元,年报,001,2022/FY,2022年 年报,一般企业,30758000000,11.0196715394,13898000000,33.3397294445,8687000000,48.217027811,7.81,7.75,45.1849925223,28.2430587164,5.891772818696,3.024215246637,0.491608861043,61.102152285579,119.039145907464,732.289485661878,18.5144927536,13.8845379279,2.889109961533,2.005305743467,2.013662289428,24.7061840894,32.81303224,49.3307839388,20.1045973166,33.5051939492,30.9834814507,33.2865892697,-2.5251925798,-6.7682604466,-16.458598599,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2023-10-06 00:00:00,2020-09-04 00:00:00,2021-09-02 00:00:00,9-2,2021-12-31 00:00:00,美元,年报,001,2021/FY,2021年 年报,一般企业,27705000000,29.2512246326,10423000000,59.0811965812,5861000000,118.1243021958,5.23,5.14,37.6213679841,21.1550261686,6.00780657053,3.505476673428,0.492415153696,59.922035733624,102.696447170466,731.09041689292,14.1349829372,10.4170554622,3.098848069738,2.400373599004,1.940846824408,25.3462250845,33.9516991783,116.1157024793,23.0790632997,67.327670083,96.9455000734,98.8137873973,-7.3331514722,14.4495237557,26.4809309831,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2022-10-07 00:00:00,2019-09-04 00:00:00,2020-09-03 00:00:00,9-3,2020-12-31 00:00:00,美元,年报,001,2020/FY,2020年 年报,一般企业,21435000000,-8.4209177134,6552000000,-38.7777985423,2687000000,-57.4370346903,2.42,2.37,30.566829951,12.6428738045,6.032081046855,2.837289104947,0.417978842685,59.680895731283,126.881677081238,861.287613716146,7.1771037835,5.2396041535,2.707611152977,1.897814619442,1.251846269781,27.351987779,37.6500153862,-57.3192239859,-33.148269311,-53.4572028518,-61.2467091368,-61.7122130513,11.2535673975,4.8393338637,6.5176584825,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2021-10-08 00:00:00,2018-08-31 00:00:00,2019-08-29 00:00:00,8-29,2019-12-31 00:00:00,美元,年报,001,2019/FY,2019年 年报,一般企业,23406000000,-22.9837780922,10702000000,-40.1822145213,6313000000,-55.337813937,5.67,5.51,45.7233188071,27.1639750491,5.397440332065,2.91610237576,0.507375654379,66.698282491669,123.452455919411,709.533452961239,18.5199853319,13.684792387,2.582629107981,1.781690140845,2.064006259781,24.5852680672,32.6000867961,-53.7897310513,-22.3309271775,-41.6084053107,-66.6450281863,-61.8975104929,5.459907801,-7.3480398571,-17.6161598327,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2020-10-19 00:00:00,2017-08-31 00:00:00,2018-08-30 00:00:00,8-30,2018-12-31 00:00:00,美元,年报,001,2018/FY,2018年 年报,一般企业,30391000000,49.5472886527,17891000000,112.0791844476,14135000000,177.7559441934,12.27,11.51,58.8694021256,46.5203514198,6.580274981054,3.721345638583,0.772207541417,54.708959889445,96.739199999998,466.195913263681,55.523912403,35.9157434699,2.78745220716,2.162669447341,3.023983315954,23.3124308373,30.3992303992,162.7408993576,41.8141287335,85.7341024661,67.4827701594,121.8744631967,-48.0108516209,19.3567477964,23.5877312204,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2019-10-17 00:00:00,2016-09-01 00:00:00,2017-08-31 00:00:00,8-31,2017-12-31 00:00:00,美元,年报,001,2017/FY,2017年 年报,一般企业,20322000000,63.9003145415,8436000000,236.7664670659,5089000000,1943.8405797101,4.67,4.41,41.511662238,25.0467473674,6.975115840055,3.954091816367,0.646415166359,51.612046058458,91.04492680465,556.91762621805,33.1520145924,16.1874165023,2.335395575553,1.749906261717,1.528496437945,44.8409553996,81.293930532,1829.6296296296,105.4702994362,1229.289529467,1564.3340938546,1615.6055201351,-15.485908041,18.9219337314,28.0774564851,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2018-10-15 00:00:00,2015-09-02 00:00:00,2016-09-01 00:00:00,9-1,2016-12-31 00:00:00,美元,年报,001,2016/FY,2016年 年报,一般企业,12399000000,-23.4251482213,2505000000,-51.9654841802,-276000000,-109.5205243187,-0.27,-0.27,20.203242197,-2.2179208001,5.420327868852,3.784279977051,0.479809608575,66.416646503756,95.130382049729,750.297604646089,-2.2639652202,-1.0680494553,1.963805584281,1.366287487073,0.655222337125,53.0573710966,113.025990099,-109.963099631,-37.2711605648,-112.3879177631,-109.0316515252,-108.5766323886,17.4765325004,-10.7880315656,-14.7162302266,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2017-10-26 00:00:00,2014-09-04 00:00:00,2015-09-03 00:00:00,9-3,2015-12-31 00:00:00,美元,年报,001,2015/FY,2015年 年报,一般企业,16192000000,-1.0147939846,5215000000,-4.0831340813,2899000000,-4.7947454844,2.71,2.47,32.2072628458,17.9039031621,5.98263439867,4.578519290928,0.695547584785,60.17416007905,78.628040448211,517.577816205457,25.0670125378,12.4530166026,2.201280409731,1.60204865557,1.333674775928,45.1642297975,82.3627162172,-5.574912892,-3.0997966469,-4.880789891,-17.8016025648,-15.0700178042,-6.1374582661,2.9412829968,-1.4709228648,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2016-10-28 00:00:00,2013-08-30 00:00:00,2014-08-28 00:00:00,8-28,2014-12-31 00:00:00,美元,年报,001,2014/FY,2014年 年报,一般企业,16358000000,80.2931775598,5437000000,194.3692474283,3045000000,155.8823529412,2.87,2.54,33.2375596039,18.8225944492,6.249474689589,4.279388714734,0.787692011364,57.604841667688,84.124164453796,457.031421934328,30.4957436154,14.6626859922,2.138384470883,1.625965351701,1.189522020455,48.1174161313,92.7429062769,147.4137931034,63.2725383248,43.0296477697,115.8022327602,106.0538637385,0.955746444,-1.0118287241,7.1080657261,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2015-10-27 00:00:00,2012-08-30 00:00:00,2013-08-29 00:00:00,8-29,2013-12-31 00:00:00,美元,年报,001,2013/FY,2013年 年报,一般企业,9073000000,10.1894583435,1847000000,90.805785124,1190000000,215.3100775194,1.16,1.13,20.3571034939,13.1599250524,5.015478164732,3.239632369424,0.542546193865,71.777802270471,111.123719900356,663.537969800186,14.1313383209,7.1159480954,2.160242424242,1.518060606061,0.43903030303,47.661889319,91.0653607835,211.5384615385,73.1615600922,205.100701146,210.7091766707,200.2576408016,15.5302910104,-15.8488406117,-13.7098342779,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2014-10-27 00:00:00,2011-08-31 00:00:00,2012-08-30 00:00:00,8-30,2012-12-31 00:00:00,美元,年报,001,2012/FY,2012年 年报,一般企业,8234000000,-6.3040509786,968000000,-44.9374288965,-1032000000,-717.9640718563,-1.04,-1.04,11.7561331066,-12.5212533398,5.910983488873,3.73381294964,0.566299862448,60.903570561088,96.416184971106,635.705610882179,-12.7643784787,-7.0976616231,2.567097637093,1.759251003121,0.942487739634,41.2548855388,70.2269217061,-711.7647058824,-41.2327089075,-679.1409176291,-730.1934165105,-725.7204984856,24.202463565,9.1632740053,16.2831153449,USD
MU.O,MU,美光科技,10162187,1000198892,,2011-09-02 00:00:00,2010-09-02 00:00:00,2011-09-01 00:00:00,9-1,2011-12-31 00:00:00,美元,年报,001,2011/FY,2011年 年报,一般企业,8788000000,3.6076397076,1758000000,-35.2247605011,167000000,-88.1811748054,0.17,0.17,20.0045516614,2.1620391443,5.804491413474,3.651948051948,0.596909492274,62.020937642242,98.577524893316,603.106508875468,2.0254699818,1.1343182204,2.351612903226,1.512903225806,1.001612903226,33.215835141,49.7360941941,-91.8660287081,-37.4802479028,-87.4651975243,-90.701903017,-89.5029405166,0.0697694743,0.3325132562,-10.4127872862,USD
MU.O,MU,美光科技,10162187,1000198892,,2010-09-03 00:00:00,2009-09-03 00:00:00,2010-09-02 00:00:00,9-2,2010-12-31 00:00:00,美元,年报,001,2010/FY,2010年 年报,一般企业,8482000000,76.5979596086,2714000000,718.2232346241,1413000000,177.0027247956,2.09,1.85,31.9971704787,17.2482904975,7.283812795191,4.184258251723,0.648669317834,49.424663994341,86.036754507626,554.982315491801,21.7837046173,10.8060568981,2.343819393042,1.688749074759,1.145817912657,33.1926767849,49.6841890791,191.2663755459,450.0738264431,142.5711918086,166.0693231867,173.283910119,-15.8506895401,32.61083408,35.5584747325,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2009-10-28 00:00:00,2008-08-29 00:00:00,2009-09-03 00:00:00,9-3,2009-12-31 00:00:00,美元,年报,001,2009/FY,2009年 年报,一般企业,4803000000,-17.7709296353,-439000000,-698.1818181818,-1835000000,-13.3415688697,-2.29,-2.29,-9.1401207579,-40.5163439517,5.249180327869,4.602282704126,0.385953634136,68.582136164895,78.222052651667,932.754528418679,-32.9709819423,-14.7454698863,1.767441860465,1.24577167019,0.637420718816,39.4449777467,65.1390690301,-9.0476190476,-870.680824476,-45.2768354956,-41.8424269476,-28.6380584766,20.7536018094,-25.261389441,-19.9862086429,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2009-10-28 00:00:00,2007-08-31 00:00:00,2008-08-28 00:00:00,8-28,2008-12-31 00:00:00,美元,年报,001,2008/FY,2008年 年报,一般企业,5841000000,2.6898734177,-55000000,-105.1020408163,-1619000000,-405.9375,-2.1,-2.1,-0.9416195857,-27.8890600924,5.766041461007,4.177116542685,0.413551401869,62.434514637904,86.183853459975,870.508474576606,-23.2447954056,-11.4627584254,2.364831038798,1.556946182728,0.637046307885,32.6656738645,48.5126617273,-400.0,-104.9683972203,-701.1766353881,-476.2530060957,-384.2836329155,8.5534773099,-8.4610683109,-14.7927345703,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2009-10-28 00:00:00,2006-09-01 00:00:00,2007-08-30 00:00:00,8-30,2007-12-31 00:00:00,美元,年报,001,2007/FY,2007年 年报,一般企业,5688000000,7.8907435508,1078000000,-10.1666666667,-320000000,-178.431372549,-0.42,-0.42,18.9521800281,-3.4810126582,5.833846153846,3.695390781563,0.420725618551,61.708860759495,97.418655097617,855.664556961989,-4.0337829321,-2.3669514405,2.583415597236,1.827245804541,0.462487660415,30.0917802672,43.0446954339,-171.186440678,-16.7367557432,-144.2214427326,-169.0142690138,-158.6719691022,44.8411369224,-15.8781943343,-26.6540531333,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2008-10-27 00:00:00,2005-09-02 00:00:00,2006-08-31 00:00:00,8-31,2006-12-31 00:00:00,美元,年报,001,2006/FY,2006年 年报,一般企业,5272000000,8.0327868852,1200000000,4.7120418848,408000000,117.0212765957,0.59,0.57,22.7617602428,7.8717754173,6.025142857143,4.696655132641,0.521283433035,59.749620637328,76.650294695486,690.603186646503,5.8448535205,4.0342116972,3.07104154124,2.491270319085,1.215532811559,20.775713935,26.2239206775,103.4482758621,-3.0738307288,104.3311916828,,,-22.9595341531,2.7528936731,13.1765031269,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2007-10-26 00:00:00,2004-09-03 00:00:00,2005-09-01 00:00:00,9-1,2005-12-31 00:00:00,美元,年报,001,2005/FY,2005年 年报,一般企业,4880000000,10.80835604,1146000000,-12.7853881279,188000000,19.7452229299,0.29,0.29,23.4836065574,3.8524590164,,,,,,,,,2.988764044944,2.201225740552,1.26353421859,26.9672745441,36.9249187618,20.8333333333,-21.2923871547,8.0651561022,,,,,,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2006-11-08 00:00:00,2003-09-04 00:00:00,2004-09-02 00:00:00,9-2,2004-12-31 00:00:00,美元,年报,001,2004/FY,2004年 年报,一般企业,4404000000,,1314000000,,157000000,,0.24,0.24,29.8365122616,3.5649409628,,,,,,,,,,,,,,,,,,,,,,USD
